dish_name,category,flavor_profile,fat_level,spice_level,cooking_method,protein
boerewors,braai,smoky fatty,high,low,grilled,beef
pap,traditional,mild starchy,low,low,boiled,vegetarian
chakalaka,township,spicy tomato,low,high,stewed,vegetarian
snoek,seafood,smoky oily,medium,low,grilled,fish
mogodu,township,rich earthy,high,medium,stewed,beef
bobotie,cape malay,sweet savory,medium,medium,baked,beef
durban curry,indian,spicy aromatic,medium,high,stewed,chicken
lamb chops,braai,smoky rich,high,low,grilled,lamb
kota,street food,fried salty,high,medium,fried,mixed
umngqusho,xhosa,nutty hearty,low,low,boiled,vegetarian
